sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
good.n.02,200,800,0.2490613266583229,0.531,0.37544833333333333,0.5025,0.3374958333333332,0.46875,0.2925520833333334,0.4393,0.2533345000000001,0,1,good,n,930,309,0.0616424736528136,-1.210119941786655
good.n.03,200,800,0.2490613266583229,0.315,0.08780833333333335,0.2785,0.03920250000000004,0.255,0.00790833333333335,0.2369,-0.016194833333333325,0,1,good,n,1524,478,0.1010141181149333,-0.9956179233370082
group.n.01,200,400,0.49874686716791977,0.514,0.030430000000000082,0.4765,-0.04438249999999999,0.46675,-0.06383374999999995,0.427,-0.14313499999999998,0,1,group,n,87067,85869,0.952176290463692,-0.021282636817593573
group.n.02,200,400,0.49874686716791977,0.763,0.5271850000000001,0.735,0.47132500000000005,0.707,0.41546500000000003,0.6672,0.3360640000000001,0,1,group,n,4345,3899,0.0475174978127734,-1.32314643660254
here.r.01,200,400,0.49874686716791977,0.667,0.33566500000000016,0.6545,0.3107275,0.625,0.25187500000000007,0.5992,0.20040399999999997,0,1,here,r,42444,28732,0.4551440152701224,-0.3418511634727207
here.r.02,200,400,0.49874686716791977,0.678,0.35761000000000015,0.654,0.3097300000000001,0.64475,0.2912762500000002,0.5975,0.19701250000000012,0,1,here,r,50463,35919,0.541134964720012,-0.26669440379727766
eminent.s.01,200,600,0.332220367278798,0.533,0.30066750000000003,0.5145,0.27296374999999995,0.5135,0.2714662499999999,0.5071,0.26188225,0,1,high,a,2419,817,0.0250033592772902,-1.6020016386247202
high.a.01,200,600,0.332220367278798,0.325,-0.01081249999999999,0.345,0.019137499999999953,0.3535,0.031866249999999964,0.3602,0.04189950000000003,0,1,high,a,88591,77988,0.9156976443714016,-0.03824790303263164
high.a.02,200,600,0.332220367278798,0.475,0.21381249999999996,0.459,0.18985250000000004,0.447,0.1718825,0.4145,0.12321374999999997,0,1,high,a,5039,3248,0.0520843023556285,-1.283293148630831
high.r.01,200,400,0.49874686716791977,0.572,0.14613999999999996,0.5485,0.09925750000000004,0.5385,0.07930750000000002,0.5158,0.03402100000000013,0,1,high,r,591,365,0.1666666666666666,-0.7781512503836439
high.r.02,200,400,0.49874686716791977,0.515,0.032425000000000086,0.524,0.0503800000000001,0.507,0.01646500000000007,0.5,0.0025000000000000556,0,1,high,r,2952,2677,0.8324873096446701,-0.07962237811389501
however.r.01,200,400,0.49874686716791977,0.744,0.48928000000000005,0.749,0.49925500000000006,0.73125,0.46384375,0.6189,0.23970550000000007,0,1,however,r,97324,93281,0.9899604316912656,-0.004382163626249753
however.r.03,200,400,0.49874686716791977,0.778,0.5571100000000001,0.7695,0.5401525,0.7455,0.49227250000000017,0.7603,0.5217985,0,1,however,r,641,326,0.0065201249097252,-2.185744084163055
information.n.01,200,600,0.332220367278798,0.396,0.09551000000000003,0.3625,0.045343749999999974,0.356,0.03560999999999997,0.3475,0.022881249999999957,0,1,information,n,81379,51663,0.8490599503369989,-0.07106164405363498
information.n.02,200,600,0.332220367278798,0.395,0.09401250000000003,0.3855,0.07978625,0.38525,0.07941187499999997,0.3868,0.08173299999999996,0,1,information,n,13906,1284,0.1450869102518623,-0.8383717678642607
information.n.03,200,600,0.332220367278798,0.759,0.6391025,0.7005,0.55149875,0.6355,0.4541612499999999,0.5095,0.2654762499999999,0,1,information,n,511,378,0.0053314692318928,-2.273153092779147
just.r.03,200,800,0.2490613266583229,0.381,0.17569833333333335,0.3535,0.1390775,0.32775,0.10478708333333332,0.2966,0.06330566666666665,0,1,just,r,11003,9062,0.1134318202905124,-0.9452650985465433
just.r.04,200,800,0.2490613266583229,0.374,0.16637666666666667,0.358,0.14507,0.33825,0.11876958333333335,0.3299,0.10765016666666671,0,1,just,r,4949,1157,0.0510200925763651,-1.2922587576947109
merely.r.01,200,800,0.2490613266583229,0.287,0.050521666666666645,0.2845,0.04719249999999998,0.278,0.03853666666666671,0.2686,0.026019000000000018,0,1,just,r,67738,60635,0.6983226977041473,-0.15594384178046206
precisely.r.01,200,800,0.2490613266583229,0.34,0.12110000000000004,0.3425,0.12442916666666672,0.33,0.10778333333333337,0.3236,0.09926066666666668,0,1,just,r,13009,8640,0.1341120194637168,-0.8725322978169594
acknowledge.v.06,200,1000,0.1991991991991992,0.672,0.5904100000000001,0.6705,0.5885368750000001,0.67375,0.5925953125,0.6797,0.600025375,0,1,know,v,7679,1282,0.0792556430554552,-1.1009698059481194
know.v.01,200,1000,0.1991991991991992,0.305,0.13211875,0.2955,0.12025562499999998,0.27625,0.0962171875,0.2679,0.08579012500000004,0,1,know,v,60944,35020,0.6290084529719576,-0.20134351822021637
know.v.02,200,1000,0.1991991991991992,0.294,0.11838249999999997,0.2795,0.10027562500000003,0.24375,0.05563281249999999,0.2134,0.01773325,0,1,know,v,15948,5159,0.1646007286688891,-0.7835682465467306
know.v.03,200,1000,0.1991991991991992,0.455,0.31943125000000006,0.456,0.32068,0.441,0.30194875000000004,0.4041,0.255869875,0,1,know,v,4551,792,0.0469712764090866,-1.3281676380306953
know.v.04,200,1000,0.1991991991991992,0.263,0.07967125000000001,0.2495,0.062813125,0.2315,0.04033562500000001,0.2133,0.017608374999999978,0,1,know,v,7466,4264,0.077057251081134,-1.113186487946802
left.a.01,200,600,0.332220367278798,0.468,0.20333000000000004,0.442,0.164395,0.41925,0.130326875,0.396,0.09551000000000003,0,1,left,a,29764,27431,0.8915915286223527,-0.04983406658260795
left.a.04,200,600,0.332220367278798,0.467,0.20183250000000003,0.461,0.19284750000000003,0.4315,0.14867124999999998,0.3889,0.08487775000000003,0,1,left,a,2137,1780,0.0640146182188539,-1.1937208402840547
leftover.s.01,200,600,0.332220367278798,0.524,0.28719,0.501,0.2527475,0.478,0.21830499999999997,0.4394,0.16050150000000002,0,1,left,a,685,463,0.0205194260551777,-1.6878347909557
left.n.01,200,400,0.49874686716791977,0.64,0.2818000000000001,0.6155,0.23292250000000017,0.59575,0.19352125000000006,0.5674,0.13696300000000008,0,1,left,n,5461,5162,0.8049823113207547,-0.09421366271311402
